x, y
-4.991803278688525, 0.008152173913043478
-4.795081967213115, 0.008152173913043478
-4.516393442622951, 0.008152173913043478
-4.221311475409836, 0.008152173913043478
-3.885245901639344, 0.024456521739130432
-3.557377049180328, 0.024456521739130432
-3.262295081967213, 0.03260869565217391
-3.0491803278688523, 0.03260869565217391
-2.80327868852459, 0.08967391304347826
-2.622950819672131, 0.1875
-2.5327868852459017, 0.35054347826086957
-2.459016393442623, 0.5380434782608695
-2.459016393442623, 0.7907608695652174
-2.459016393442623, 1.0271739130434783
-2.4754098360655736, 1.2391304347826086
-2.4754098360655736, 1.4184782608695652
-2.4672131147540983, 1.6304347826086956
-2.4754098360655736, 1.8668478260869565
-2.4918032786885242, 2.0869565217391304
-2.483606557377049, 2.3967391304347827
-2.483606557377049, 2.608695652173913
-2.3934426229508197, 2.796195652173913
-2.1967213114754096, 2.9103260869565215
-2, 2.9592391304347827
-1.7540983606557377, 3
-1.5, 3.016304347826087
-1.221311475409836, 3.032608695652174
-0.9508196721311473, 3.032608695652174
-0.6065573770491799, 3.0244565217391304
-0.31147540983606525, 3.0244565217391304
-0.03278688524590123, 3.032608695652174
0.21311475409836067, 3.0407608695652173
0.44262295081967284, 3.0489130434782608
0.6475409836065573, 3.0489130434782608
0.8360655737704921, 3.0489130434782608
